,City,Cloudiness_Percent,Country Code,Date,Humidity_Percent,Latitude,Max_Tempurature_F,Wind_Speed_MPH
0,Bluff,68,nz,1522700320,100,-46.6,56.78,28.07
1,Albany,0,au,1522700035,96,-35.02,56.78,3.58
2,Bredasdorp,76,za,1522695600,88,-34.53,64.4,1.12
3,Barrow,90,us,1522697700,75,39.51,41.0,13.87
4,Wasilla,1,us,1522698960,31,61.58,35.6,21.92
5,Khatanga,64,ru,1522700134,65,71.98,-8.43,8.61
6,Energetik,0,ru,1522700315,68,51.74,15.88,4.36
7,Vaini,90,to,1522699200,94,-21.2,75.2,25.05
8,Avarua,90,ck,1522699200,94,-21.21,71.6,3.36
9,Mpongwe,12,zm,1522700316,70,-13.51,70.24,9.06
10,College,1,us,1522699080,37,64.86,19.4,3.47
11,Busselton,0,au,1522700003,94,-33.64,70.73,13.76
12,Neiafu,75,to,1522699200,88,-18.65,77.0,8.05
13,Yellowknife,20,ca,1522699200,49,62.45,3.2,9.17
14,Kavieng,44,pg,1522700084,100,-2.57,82.07,8.39
15,Mandalgovi,88,mn,1522700330,64,45.76,20.11,7.72
16,Nampula,40,mz,1522695600,94,-15.12,71.6,2.57
17,Businga,24,cd,1522700323,96,3.34,72.49,2.68
18,Hofn,64,is,1522700325,100,64.25,28.93,11.74
19,Ushuaia,75,ar,1522695600,93,-54.81,46.4,9.17
20,Ixtapa,5,mx,1522694760,65,20.71,78.8,11.41
21,Aklavik,40,ca,1522699200,65,68.22,6.8,19.46
22,Hobart,75,au,1522697400,67,-42.88,57.2,9.17
23,Provideniya,32,ru,1522700188,100,64.42,25.73,1.9
24,Kyabram,0,au,1522700329,92,-36.31,51.65,9.95
25,Kahului,90,us,1522696980,94,20.89,78.8,16.11
26,Jamestown,0,sh,1522700050,100,-15.94,75.64,15.99
27,Fairview,20,ca,1522699200,44,56.07,19.4,12.75
28,Naryan-mar,44,ru,1522700333,67,67.67,8.45,11.52
29,Tooele,90,us,1522698960,41,40.53,60.8,19.46
30,Manzhouli,0,cn,1522700335,33,49.6,16.91,18.23
31,Springdale,12,ca,1522700335,87,49.5,30.59,19.01
32,Chokurdakh,8,ru,1522700155,53,70.62,0.89,5.14
33,Komsomolskiy,0,ru,1522700337,67,67.55,-9.19,4.92
34,Cabedelo,20,br,1522695600,66,-6.97,84.2,14.99
35,Chuy,56,uy,1522700339,83,-33.69,71.36,8.95
36,Saldanha,36,za,1522695600,82,-33.01,62.6,6.93
